,RN,Title_eng,AB_eng
10,4028,Monitoring the status and trends of tropical forest terrestrial vertebrate communities from camera trap data: a tool for conservation,"Reducing the loss of biodiversity is key to ensure the future well being of the planet. Indicators to measure the state of biodiversity should come from primary data that are collected using consistent field methods across several sites, longitudinal, and derived using sound statistical methods that correct for observation/detection bias. In this paper we analyze camera trap data collected between 2008 and 2012 at a site in Costa Rica (Volcan Barva transect) as part of an ongoing tropical forest global monitoring network (Tropical Ecology Assessment and Monitoring Network). We estimated occupancy dynamics for 13 species of mammals, using a hierarchical modeling approach. We calculated detection-corrected species richness and the Wildlife Picture Index, a promising new indicator derived from camera trap data that measures changes in biodiversity from the occupancy estimates of individual species. Our results show that 3 out of 13 species showed significant declines in occupancy over 5 years (lowland paca, Central American agouti, nine-banded armadillo). We hypothesize that hunting, competition and/or increased predation for paca and agouti might explain these patterns. Species richness and the Wildlife Picture Index are relatively stable at the site, but small herbivores that are hunted showed a decline in diversity of about 25%. We demonstrate the usefulness of longitudinal camera trap deployments coupled with modern statistical methods and advocate for the use of this approach in monitoring and developing global and national indicators for biodiversity change."
11,3554,"Decadal trends in abundance, size and condition of Antarctic toothfish in McMurdo Sound, Antarctica, 1972-2011","We report the analyses of a dataset spanning 39 years of near-annual fishing for Dissostichus mawsoni in McMurdo Sound, Antarctica, 1972-2011. Data on total length, condition and catch per unit effort (CPUE) were derived from the > 5500 fish caught, the large majority of which were measured, tagged and released. Contrary to expectation, the length frequency of the McMurdo Sound catch was dominated by fish in the upper two-thirds of the overall distribution exhibited in the industrial catch for the Ross Sea shelf. Fish length and condition increased from the early 1970s to the early 1990s and then decreased. Fish length positively correlated with Ross Sea ice extent in early spring, a relationship possibly caused by more ice encouraging larger fish to move farther south over the shelf and into the study area. Fish condition positively correlated with the amount of open water in the Ross Sea during the previous summer (Feb), perhaps reflecting greater availability of prey with the higher productivity that more open water brings. Decreasing fish size corresponds to the onset of the fishery, which targets the large individuals. CPUE was constant through 2001 and then decreased dramatically. We hypothesize that this decrease is related to the industrial fishery, which began in the 1996-97 austral summer, and concentrates effort over the ice-free Ross Sea continental slope. As a result of limited prey choices and close coupling among mesopredators of the region, Antarctic toothfish included, the fishery appears to be dramatically altering the trophic structure of the Ross Sea. "
12,1497,Geographic Structure of the Adelie Penguin Populations: Overlap in Colony-Specific Foraging Areas,"In an investigation of the factors leading to geographic structuring among Adélie Penguin (Pygoscelis adeliae) populations, we studied the size and overlap of colony-specific foraging areas within an isolated cluster of colonies. The study area, in the southwestern Ross Sea, included one large and three smaller colonies, ranging in size from 3900 to 135000 nesting pairs, clustered on Ross and Beaufort Islands. We used triangulation of radio signals from transmitters attached to breeding penguins to determine foraging locations and to define colony-specific foraging areas during the chick-provisioning period of four breeding seasons, 1997-2000. Colony populations (nesting pairs) were determined using aerial photography just after egg-laying; reproductive success was estimated by comparing ground counts of chicks fledged to the number of breeding pairs apparent in aerial photos. Foraging-trip duration, meal size, and adult body mass were estimated using RFID (radio frequency identification) tags and an automated reader and weighbridge. Chick growth was assessed by weekly weighing. We related the following variables to colony size: foraging distance, area, and duration; reproductive success; chick meal size and growth rate; and seasonal variation in adult body mass. We found that penguins foraged closest to their respective colonies, particularly at the smaller colonies. However, as the season progressed, foraging distance, duration, and area increased noticeably, especially at the largest colony. The foraging areas of the smaller colonies overlapped broadly, but very little foraging area overlap existed between the large colony and the smaller colonies, even though the foraging area of the large colony was well within range of the smaller colonies. Instead, the foraging areas of the smaller colonies shifted as that of the large colony grew. Colony size was not related to chick meal size, chick growth, or parental body mass. This differed from the year previous to the study, when foraging trips of the large colony were very long, parents lost mass, and chick meals were smaller. In light of existing data on prey abundance in neritic waters in Antarctica suggesting that krill are relatively evenly distributed and in high abundance in the Southern Ross Sea, we conclude that penguins depleted or changed the availability of their prey, that the degree of alteration was a function of colony size, and that the large colony affected the location (and perhaps ultimately the size) of foraging areas for the smaller colonies. It appears, therefore, that foraging dynamics play a role in the geographic structuring of colonies in this species. "
13,1897,"Distribution and status of the smooth-coated otter Lutra perspicillata in National Chambal Sanctuary, India","The distribution and relative density of smooth-coated otters Lutra perspicillata Geoffroy were studied along a 425 km stretch of Chambal river within the National Chambal Sanctuary, Central India, between 1988 and 1992. Sample sites of 1 km were surveyed every 5 km. The study revealed that the distribution of otters along the river is patchy and largely restricted to the upper reaches. During the 1988 survey, 36% of sites were found with otter signs but only 24% in 1992. Recent increases in disturbance along the river due to construction of road bridges and mining activities might have put pressure on the population. Most of the positive sites (66%) were found on rocky banks, followed by clay banks (19%), banks with shoreline vegetation and marsh (11%) and sandy banks (3%). During intensive monitoring of four radio-implanted otters, c. 78% locations were made on rocky banks, 19% on banks with shoreline vegetation and marsh, with lt 3% on sandy banks and lt 1% on clay banks, indicating greater preference for rocky banks owing to the greater availability of den sites. As a conservation measure, monitoring of the otter population should be done regularly and restrictions on cultivation, grazing and mining along the banks should be imposed within the Sanctuary limits, especially in the identified stretches."
14,980,Bald Ibis Geronticus-Eremita Population in Turkey - an Evaluation of the Captive Breeding Project for Reintroduction,"This paper reports on captive and wild populations of the bald ibis Geronticus eremita in Birecik, Turkey. Captive breeding and reintroduction, aimed at increasing the wild population, are evaluated. Low breeding success in captivity, failure of reintroduced birds to join the wild population in migration, and losses during migration and in the winter appear as major factors preventing an increase in this population. Probable causes of these three factors are discussed. "
15,3852,Global population status of shy albatross and an assessment of colony-specific trends and drivers,"Context Monitoring the status of albatross populations and identifying the factors driving observed trends remain international conservation and management priorities. The shy albatross is endemic to Australia and breeds only on three Tasmanian islands. Aims To provide a reliable total population estimate for shy albatross, including an assessment of demographic trends for each of the three populations where possible. We consider also key drivers of population trends for each population, particularly the potential role of fisheries by-catch, with an overall aim of determining the status of the species. Methods Aerial photography and ground surveys were used to estimate the number of annual breeding pairs and trends in adult and juvenile survival rates were calculated using markrecapture methods. At-sea distribution data was used to identify population specific trends in the overlap of shy albatross and fisheries to evaluate the potential influence of fisheries by-catch on the populations. Key Results The Albatross Island population increased post-harvesting but has recently stabilised at around 5200 breeding pairs, less than half its estimated historic size. This trajectory change appears driven by a decrease in juvenile survival. The small (170 breeding pairs) Pedra Branca population has recently declined, probably due to reduced breeding success associated with the increasing population of Australasian gannets (Morus serrator) on the island. The largest population (on Mewstone) comprises at least 9500 breeding pairs. Trends for this population are unknown. However, this paper demonstrates that these birds have greater overlap with trawl and longline fishing effort and are consequently at higher risk of fishing-related mortality. Conclusions Given the extent of fisheries overlap, survival rates for Mewstone individuals are likely to be lower than the Albatross Island population. Combined with recent trends on Pedra Branca and Albatross Island, we suggest that the current status of the shy albatross is likely to be stable at best and quite possibly decreasing. Implications The concerns raised about the conservation status of shy albatross reinforce the importance of continued population monitoring focussed particularly on establishing the trend of Mewstone. A thorough assessment of interactions with trawl fishing operations also is a management priority for this species. "
16,3334,"Distribution, abundance, and status of the Greater Sage-grouse, Centrocercus urophasianus, in Canada","We reviewed the historic and present distribution of Greater Sage-Grouse (Centrocercus urophasianus) in Canada and found that the species has been eliminated from approximately 90% of its estimated historic distribution. Sage-grouse have been extirpated from British Columbia and reduced to remnant populations in Alberta and Saskatchewan. Estimates of the size of the population decline in Canada range from 66 to 92% over the last 30 years based on currently occupied habitat. As a result, sage grouse have been listed as Endangered in both Alberta and Saskatchewan by provincial governments and federally in Canada by COSEWIC. Intensive surveys from 1994 to 1999 in both provinces suggest that the 1999 spring breeding population had declined to between 813 and 1204 individuals. The number of active lek sites has continued to decline, suggesting that some habitats have become unsuitable to support viable sage-grouse populations. Number of yearling males recruiting to leks each spring has been low, suggesting that production and overwinter survival of young are the major problems related to the decline. Low chick survival rate, with only 18% surviving to 50 days of age, is the most likely parameter contributing to the population decline. These declines could be related to one or any combination of habitat changes, livestock grazing pressure, oil and gas developments, or climate change, all of which could lead to increased predation rates and decreased survival. It is questionable if the present population of sage-grouse in Canada is large enough to remain viable."
17,1746,"The African savannah elephant population in Kidepo Valley National Park, Uganda: changes in size and structure from 1967 to 2000 ","The age and sex structure of the elephant population in Kidepo Valley National Park were studied using recognition files. Moreover, population trends were reviewed using past studies. From 1967 to 2000, the elephant population varied between 200 and 500 individuals. Of the minimum number of 374 elephants found to use the Park, 352 were individually identified. Seventy-nine per cent of these were recorded in 29 families ranging from three to 22 animals with a mean group size of ten. Young animals dominated the population (45% aged 0-9.9 years), while 11% were 10-14.9 years of age and only 18% over 25 years of age. Overall, males constituted 45% of the population, but only 32% of the individuals in the 10-14.9-year age class were males. Individuals ≥15 years of age displayed a skewed sex ratio of 1:1.4 in favour of females. The extent of skew was greatest among mature animals (≥25 years of age), which had four times as many females as males. The skewed age structure in the year 2000 caused by poaching and drought, led to a significant difference between the age distribution in 1970 and 2000. Recent counts suggest that the Kidepo elephant population may be increasing. "
18,4503,Coral loss and fish guild stability on a Caribbean coral reef: 1974–2000,"Data on reef substrate composition and fish guild structure was extracted from filmed underwater surveys conducted in 1974 and 2000 at a coral reef in the Florida Keys. During the course of this 26-year interval the reef underwent a dramatic (>75 %) loss of stony coral cover, particularly acroporids, accompanied by significant increases in turf algae, crustose-coralline algae, octocorals, and macroalgae. At the same time, marked changes occurred in the structure of a guild of large herbivorous reef fishes. Total abundance declined, and the relative abundance of constituent species and functional groups changed as well. In contrast, we recorded no change in any measure of structural stability in either of two carnivorous fish guilds (lutjanids, haemulids) that feed by night in off-reef habitats. These results are generally consistent with the hypothesis that coral loss differentially impacts functionally dissimilar groups of fishes, according to dependency on reef substrates for food and/or shelter. The persistence of sizeable herbivore populations along with the relatively low (<16 %) macroalgal cover seen in 2000 suggests that coral loss at our study site was most likely due to bleaching and disease, rather than a response to macroalgal overgrowth. This study represents the first (and only) known study that simultaneously quantifies both a “phase-shift” in reef substrate as well as concurrent changes in the structure of a reef fish assemblage at a single coral reef in the tropical western Atlantic region."
19,2358,Monitoring population abundance of the sand lizard Acanthodactylus scutellatus and their ant prey in oil-polluted soils of Kuwait's Greater Al-Burgan oil fields,"Desert ecosystems in Al-Burgan oil fields of Kuwait were contaminated by heavy metals and petroleum hydrocarbons due to oil spill generated by the Gulf War in 1990. Studying sand lizard (Acanthodactylus scutellatus) population and their ant prey in the years 2002 and 2003 to detect the effects of oil pollution is now a focus of study. Polluted sites with apparently different degrees of pollution (namely tar mat, soot and clear sites) were compared with control sites outside this region. Total lizard numbers were recorded by using transect method. Number of ants was recorded by walking the transects and counting ants present. The results showed no difference in lizard population between the different study sites in 2002 and 2003 by applying the transect method. No difference in ant populations between the different study sites in 2002 and 2003. Although, the mean estimated lizard numbers were lower at the tar mat sites, the ant number in this location was greatest, meaning that food availability was highest at these sites. This suggests any reduction in the numbers of lizards is unrelated to low resource availability. The lizard numbers at the tar mat sites could be depressed by some property of the pollutants. "
20,1673,Female-biased sex ratios in subarctic common frogs,"In vertebrates with genetic sex determination, large deviations from the 1:1 sex ratio at the population level are rare and demand an explanation. We investigated adult sex-ratio variation of common frogs Rana temporaria in two subarctic breeding ponds over a 6-year (1999-2004) period using capture-mark-recapture (CMR) methods. Using the same data, we also tested for the occurrence of the biannual breeding cycle in female common frogs and sought evidence for population size decline. Sex ratios were highly female biased in both populations: on average, only about 30% of breeding individuals were males. CMR analyses further suggested that the female-biased sex ratio was not explainable by higher adult mortality among males as the survival probabilities over years were similar (c. 70%) for both sexes. Alternative explanations for these highly female-biased sex ratios include sex-specific mortality at earlier life stages and environmental influences on the sex determination system. While further studies are required to differentiate between the alternatives, the observed sex-ratio bias is among the strongest reported in any amphibian population so far, and also in the direction opposite to that usually observed (males>females). Our analyses found no support for the contention that female common frogs in northern populations may reproduce only in every second year. However, both study populations were declining during the study period. "
21,4622,Some ecological aspects of fish populations in tropical ricefields,"Fish yields from the captural method of rice-fish farming system were monitored from 1985 to 1987. Seven species were obtained, with Trichogaster pectoralis, Clarias macrocephalus, and Channa striatus dominant and economically important. Low number of species is due to double cropping of rice resulting in increased human activities. The maximum yield obtained, 174.6 kg ha-1, is probably near the maximum for this type of rice-fish farming and the harvests have also stabilised when compared to those obtained in the early 1970s. Fish populations included more than one year-class in each harvest. A decline in individual weight, especially of herbivores, was recorded and correlated to the abundance of the species, and hence, to food supply. "
22,3265,Winter range expansion and relationships between landscape and morphometrics of midcontinent lesser snow geese,"Dramatic increases in population size and major extensions of winter range have occurred among midcontinent Lesser Snow Geese (Chen caerulescens caerulescens) in the last few decades. Agricultural landscapes within these range extensions provide winter foods that are distinctly different from those upon which most birds in this population subsisted until about 1970. I examined geographic variation in body and bill morphology of Lesser Snow Geese by comparing geese from: (1) traditionally used coastal brackish marshes contiguous to the Gulf of Mexico (n = 314), (2) agricultural landscapes centered around rice production and occurring up to 160 km inland from the coast (n = 200), and (3) agricultural landscapes with extensive corn production about 1,000 km north of the Gulf of Mexico (n = 125). Analyses of size and shape in body, head, and bill morphology were done on principal components of 10 metric variables. Geese from marsh habitats were largest in body size, those from rice prairies were intermediate but most variable, and those from the Missouri River valley farthest north were smallest. In addition, 'marsh' geese had thicker bills, longer skulls, and longer culmens than 'corn' geese. Five nonexclusive hypotheses (phenotypic selection, habitat selection, nutrition, fall migration endurance, and introgressive hybridization with Ross' Geese [Chen rossii]) are proposed to account for this geographic variation in external morphology. The interplay between winter range extension, habitat use, and morphology may have motivated large increases in continental population size and may be coupled with patterns of demographic and morphological change reported on breeding areas."
23,3533,"Hawksbill turtle monitoring in Cousin Island Special Reserve, Seychelles: an eight-fold increase in annual nesting numbers","Results of hawksbill turtle Eretmochelys imbricata nest monitoring on Cousin Island, Seychelles, indicate an 8-fold increase in abundance of nesting females since the early 1970s when the population was highly depleted. From 1999 to 2009, the population increased at an average rate of 16.5 turtles per season. Females were individually tagged, and nesting data were derived from indirect evidence of nesting attempts (i.e. tracks) and actual turtle sightings (56 to 60% of all encounters). Survey effort varied over the years for a variety of reasons, but the underlying trends over time are considered robust. To overcome biases associated with variable survey effort, we estimated population changes by fitting a Poisson distribution to data on numbers of times each individual was seen at this breeding site in a season. This was used to estimate unseen individuals, and hence the total number of nesting females each season. The maximum number of individuals emerging onto Cousin Island to nest within a single season was estimated to be 256 (2007 to 2008) compared to 23 in 1973. Tag returns indicate that many turtles nest on both Cousin and Cousine Islands (2 km apart), and that some inter-island nesting also occurs between Cousin and more remote islands within the Seychelles."
24,2012,"A plot study of forest floor litter frogs, Central Amazon, Brazil","Abundance and distribution of frogs inhabiting the litter layer of an area of primary lowland rain forest in Central Amazonia were studied over a period of 15 months by sampling 498 plots each 5m x 5m. The litter frog fauna of the area consists of 23 species, but only 12 of these were encountered in the plots, and 84% of the frogs encountered belonged to only six species. Total abundance and diversity within the plot data are strongly seasonal and peak in the late wet season. Both are positively correlated with litter volume and moisture. Most of this variation is due to seasonality of reproduction, as indicated by patterns of occurrence of juveniles of the most abundant species. These results indicate that the plot sampling method does not sample the entire fauna adequately. Since this technique has been used to study other tropical forest litter herpetofaunas, however, comparison with other studies may be useful. Species diversity of litter frogs appears to be approximately the same in lowland primary forest sites studied, averaging around 20 ‘regular’ species. Abundances, however, vary widely. Central American communities contain 14–15 frogs (100m)-2, African 9–10, South American 4–6, and South-east Asian 1–2. These differences may be due to differential nutrient availability in forests of different ages and/or on different soils. "
25,1366,"Variation and covariation in survival, dispersal, and population size in barn owls Tyto alba","1. Population dynamics are the result of variation in survival, recruitment, emigration and immigration rates. Covariation between these demographic rates critically affects the dynamics and magnitude of fluctuations in population size. Such covariation can arise by environmental factors affecting several rates in similar ways. Also demographic processes, such as the source-sink and the balanced dispersal process, are expected to lead to covariation between demographic rates. 2. Here, we study variation and covariation in survival, emigration, immigration, and the size of a Swiss barn owl (Tyto alba) population, and examine the factors associated with this variation. For practical reasons, survival and emigration are often confounded in studies of natural populations. We overcome this problem by jointly analysing live-recapture and dead-recovery data using recently developed statistical methods. 3. Mortality, emigration, the number of known immigrants, and population size were positively correlated over time. Neither the source-sink nor the balanced dispersal process is expected to lead to this pattern. 4. Survival was lower for juveniles than adults (mean 17% vs. 72%), and highly variable across years in both age classes. Snow cover, mean annual temperature and population density accounted for 32-47% of the variation in survival of juveniles and adults. Emigration was higher for juveniles than for adults, and adults emigrated more often when the population size was higher. 5. Our results showed that local population dynamics were affected by density dependence and the stochastic environmental factors snow cover and temperature. Rather than lending support to one of the two dispersal hypotheses, the patterns of correlation between survival, dispersal, and population size suggest strong fluctuations in environmental conditions that influence the dynamics of barn owl populations at a larger spatial scale."
26,3615,Hydrological attributes and rheophilic freshwater fish: stock assessment,"The mathematical and statistical advances in fitting stock assessment models enabled the emergence of the paradigm of ""integrated analysis"", which fits all available data to a single model of population dynamics that traditionally has total catch as the only forcing function of the system. This approach, however, allowed us to include, in a flexible way, the effect of hydrological regime as an additional forcing function. We tried to achieve this flexibility by making the annual recruitment rates and spawning biomass adjustable to the attributes of the hydrological cycle data. Our models showed that these attributes are influential in the population dynamics of Brycon hilarii of the Northern Pantanal, and their inclusion in the models allowed best partial fits (which considered fits only to the data components length- and age-compositions, CPUE of juveniles and adults) than the Base-case (without hydrological attributes). The best partial fits where obtained when the attributes ""delay of floods"" and ""intensity of floods"" were forcing the spawning biomass and the annual recruitment respectively, indicating that these characteristics of the population may be influenced by specific attributes of the water level. The use of integrated modeling contributed with the advancement of population ecology knowledge of rheophilic fish. It is recommended that freshwater fisheries management be integrated into the hydrology management. "
